name,type,state_default,variant_properties,state_options
"Size=Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=True","COMPONENT","","",""
"comp.button.secondary","COMPONENT_SET","","Size, Style, Hover",""
"Size=Large, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Link, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Link, Hover=True","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Large, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Link, Hover=False","COMPONENT","","",""
"Size=Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"comp.button.primary","COMPONENT_SET","","Size, Style, Hover",""
"Size=Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Link, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=True","COMPONENT","","",""
"Size=Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Large, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Large, Style=Link, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Link, Hover=True","COMPONENT","","",""
"Size=Large, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=False","COMPONENT","","",""
"Size=Base ✦, Style=Link, Hover=True","COMPONENT","","",""
"comp.duobutton.primary","COMPONENT_SET","","Style, Position",""
"Style=Fill, Position=Left","COMPONENT","","",""
"Style=Fill, Position=Right","COMPONENT","","",""
"Style=Border, Position=Left","COMPONENT","","",""
"Style=Border, Position=Right","COMPONENT","","",""
"Style=Link, Position=Left","COMPONENT","","",""
"Style=Link, Position=Right","COMPONENT","","",""
"Style=Minimal Border, Position=Left","COMPONENT","","",""
"Style=Minimal Border, Position=Right","COMPONENT","","",""
"Style=Minimal Fill, Position=Left","COMPONENT","","",""
"Style=Minimal Fill, Position=Right","COMPONENT","","",""
"Style=Hyperlink, Position=Left","COMPONENT","","",""
"Style=Hyperlink, Position=Right","COMPONENT","","",""
"comp.duobutton.secondary","COMPONENT_SET","","Style, Position",""
"Style=Fill, Position=Left","COMPONENT","","",""
"Style=Fill, Position=Right","COMPONENT","","",""
"Style=Border, Position=Left","COMPONENT","","",""
"Style=Border, Position=Right","COMPONENT","","",""
"Style=Link, Position=Left","COMPONENT","","",""
"Style=Link, Position=Right","COMPONENT","","",""
"Style=Minimal Border, Position=Left","COMPONENT","","",""
"Style=Minimal Border, Position=Right","COMPONENT","","",""
"Style=Minimal Fill, Position=Left","COMPONENT","","",""
"Style=Minimal Fill, Position=Right","COMPONENT","","",""
"Style=Hyperlink, Position=Left","COMPONENT","","",""
"Style=Hyperlink, Position=Right","COMPONENT","","",""
"comp.duobutton.error","COMPONENT_SET","","Style, Position",""
"Style=Fill, Position=Left","COMPONENT","","",""
"Style=Fill, Position=Right","COMPONENT","","",""
"Style=Border, Position=Left","COMPONENT","","",""
